,sequence,total_frames,duration_sec,CAM_BACK_RIGHT,CAM_BACK,CAM_BACK_LEFT,CAM_FRONT_RIGHT,CAM_FRONT_LEFT,CAM_FRONT,velodyne_semantic,radar,depth,semantic,velodyne,Total
0,01,142,71.0,129.619140625,141.2822265625,142.4775390625,115.8662109375,134.3037109375,118.1943359375,115.17247009277344,0.7639007568359375,152.25390625,32.712890625,76.78164672851562,1159.427978515625
1,02,78,39.0,74.0771484375,81.140625,71.521484375,69.4091796875,69.1640625,66.640625,57.77281951904297,0.34039306640625,84.10546875,24.3974609375,38.51519775390625,637.0844650268555
2,03,187,93.5,291.7099609375,292.7861328125,229.2490234375,291.12890625,237.1005859375,284.033203125,183.81463623046875,1.3672332763671875,248.017578125,83.1083984375,122.5430908203125,2264.8587493896484
3,04,116,58.0,100.5166015625,100.6513671875,113.142578125,108.6416015625,110.8798828125,102.8818359375,107.83433532714844,0.721038818359375,120.6650390625,21.6806640625,71.88955688476562,959.5045013427734
4,05,97,48.5,98.21484375,94.646484375,76.3828125,102.7451171875,74.875,95.9912109375,102.79048919677734,0.8466644287109375,123.458984375,34.0986328125,68.52699279785156,872.5772323608398
5,06,119,59.5,106.7109375,105.990234375,102.73828125,101.466796875,104.3359375,102.150390625,93.52189636230469,0.701141357421875,137.1572265625,28.859375,62.347930908203125,945.9801483154297
6,07,152,76.0,105.6796875,105.435546875,109.48828125,103.619140625,114.45703125,106.599609375,93.52681732177734,0.7917022705078125,134.8369140625,36.7431640625,62.35121154785156,973.5291061401367
7,08,82,41.0,56.935546875,56.9638671875,56.8203125,53.39453125,56.1767578125,52.890625,47.08634948730469,0.3999786376953125,61.04296875,16.970703125,31.390899658203125,490.0725402832031
8,09,101,50.5,86.224609375,77.9208984375,83.2548828125,83.8359375,83.9970703125,78.072265625,79.17615509033203,0.8258819580078125,95.03515625,19.4462890625,52.78410339355469,740.5732498168945
9,10,121,60.5,84.8984375,94.2802734375,104.33203125,87.51953125,112.095703125,95.876953125,113.16036987304688,1.41107177734375,110.6162109375,19.6376953125,76.00651550292969,899.8347930908203
10,100,1063,531.5,883.5908203125,919.982421875,878.3583984375,876.4033203125,866.92578125,880.33984375,956.2430877685547,8.760208129882812,1088.06640625,234.9853515625,637.4953765869141,8231.151016235352
11,11,80,40.0,44.140625,58.5234375,59.5888671875,46.560546875,59.4892578125,57.056640625,73.47903442382812,0.6829833984375,61.9072265625,13.8505859375,48.98602294921875,524.2652282714844
12,110,187,93.5,177.67578125,177.009765625,163.791015625,176.1962890625,151.66796875,166.302734375,183.0875244140625,1.4096527099609375,223.22265625,38.5107421875,122.058349609375,1580.9324798583984
13,12,133,66.5,97.1943359375,109.8642578125,114.6357421875,90.4482421875,113.2119140625,98.1640625,124.6571044921875,1.104217529296875,98.3720703125,14.744140625,83.10472106933594,945.5008087158203
14,120,180,90.0,153.521484375,154.0224609375,165.5634765625,154.3271484375,165.6162109375,149.01171875,150.63997650146484,1.380401611328125,197.0732421875,23.5791015625,100.42665100097656,1415.1618728637695
15,13,85,42.5,72.4794921875,66.2890625,68.4990234375,71.2060546875,74.353515625,62.8447265625,69.36827087402344,0.5436248779296875,73.26171875,16.3935546875,46.245513916015625,621.4845581054688
16,14,53,26.5,46.5556640625,50.845703125,49.2841796875,47.3349609375,43.4326171875,43.15234375,52.631378173828125,0.5154266357421875,61.501953125,8.1220703125,35.08758544921875,438.46388244628906
17,15,96,48.0,74.2705078125,74.3369140625,82.109375,72.9638671875,73.94921875,64.2578125,74.16487884521484,0.671539306640625,74.3154296875,27.455078125,49.4432373046875,667.937858581543
18,16,210,105.0,188.341796875,174.2744140625,182.359375,179.384765625,184.7431640625,167.88671875,165.66302490234375,1.7908782958984375,200.2958984375,39.34375,110.4420166015625,1594.5258026123047
19,17,203,101.5,167.5029296875,154.1171875,145.248046875,160.2783203125,147.3466796875,148.4423828125,128.55477905273438,1.5712127685546875,158.5205078125,42.83203125,85.70318603515625,1340.1172637939453
20,18,133,66.5,151.5478515625,117.599609375,95.919921875,151.044921875,97.7021484375,116.546875,102.90989685058594,0.9748687744140625,147.2314453125,34.3740234375,68.60658264160156,1084.4581451416016
21,19,127,63.5,91.3818359375,108.248046875,131.322265625,89.6064453125,137.9990234375,108.0947265625,90.02330017089844,0.920806884765625,133.11328125,36.947265625,60.015533447265625,987.6725311279297
22,20,103,51.5,70.1689453125,71.6416015625,79.955078125,69.4921875,82.044921875,68.8671875,59.088134765625,0.6347503662109375,75.75,25.708984375,39.39208984375,642.7438812255859
23,21,59,29.5,44.765625,47.0478515625,48.5703125,43.0068359375,45.267578125,42.384765625,48.769386291503906,0.4576416015625,51.8603515625,12.974609375,32.51292419433594,417.61788177490234
24,22,93,46.5,74.9951171875,67.2607421875,69.9990234375,78.7880859375,71.63671875,70.1513671875,72.10881042480469,0.61614990234375,87.94140625,23.8759765625,48.072540283203125,665.4459381103516
25,23,96,48.0,77.9833984375,81.1591796875,78.845703125,73.9501953125,76.3759765625,76.0791015625,90.3940658569336,0.8892974853515625,88.755859375,19.3154296875,60.2626953125,724.0109024047852
26,24,87,43.5,83.5009765625,81.89453125,86.5712890625,85.240234375,82.8271484375,78.435546875,75.17179870605469,0.7584991455078125,107.27734375,22.09375,50.114532470703125,753.8856506347656
27,25,135,67.5,115.98046875,123.3916015625,108.439453125,116.6240234375,110.111328125,118.1865234375,125.31951141357422,1.02593994140625,133.9482421875,31.0556640625,83.54634094238281,1067.6290969848633
28,26,63,31.5,43.1650390625,48.2607421875,46.3408203125,44.8779296875,45.7109375,47.6748046875,64.32625579833984,0.6284332275390625,55.2998046875,10.6416015625,42.88417053222656,449.81053924560547
29,27,72,36.0,72.7431640625,72.6826171875,69.091796875,67.7822265625,67.978515625,65.7998046875,61.21746826171875,0.5647125244140625,92.4453125,16.30859375,40.8116455078125,627.4258575439453
30,28,140,70.0,118.328125,109.9130859375,112.6748046875,117.890625,106.7119140625,105.0283203125,105.75572204589844,0.757537841796875,140.8037109375,30.72265625,70.50381469726562,1019.0903167724609
31,29,143,71.5,130.5224609375,122.5244140625,109.90625,123.396484375,103.7822265625,107.40234375,106.35234832763672,0.998779296875,135.9267578125,36.236328125,70.90156555175781,1047.9499588012695
32,30,159,79.5,128.8818359375,133.8095703125,135.896484375,131.4462890625,142.787109375,136.0166015625,144.78820037841797,1.1122894287109375,156.8876953125,60.0048828125,96.52545166015625,1268.1564102172852
33,31,64,32.0,45.0751953125,50.328125,50.474609375,41.6025390625,48.3623046875,43.9404296875,48.05358123779297,0.53729248046875,46.849609375,12.7412109375,32.03572082519531,420.00061798095703
34,32,126,63.0,85.89453125,86.166015625,88.8505859375,87.5517578125,85.845703125,85.880859375,100.2264404296875,1.0635223388671875,116.595703125,23.654296875,66.817626953125,828.5470428466797
35,33,156,78.0,109.7578125,95.6044921875,75.697265625,107.3466796875,75.7314453125,93.6572265625,127.76177215576172,1.1893157958984375,103.6484375,24.3349609375,85.17451477050781,899.903923034668
36,34,99,49.5,49.908203125,61.861328125,71.095703125,49.330078125,71.1533203125,60.4013671875,81.18214416503906,0.7340545654296875,73.0068359375,14.7998046875,54.121429443359375,587.5942687988281
37,35,129,64.5,69.90234375,79.0087890625,89.1494140625,70.849609375,93.18359375,79.3671875,108.70891571044922,1.2328643798828125,93.09375,21.947265625,72.47261047363281,778.9163436889648
38,36,128,64.0,104.25390625,95.39453125,104.69140625,116.2958984375,122.955078125,104.517578125,98.02301788330078,0.894073486328125,137.9677734375,42.3173828125,65.34867858886719,992.6593246459961
39,37,87,43.5,71.291015625,70.6005859375,82.751953125,65.4443359375,75.22265625,64.1767578125,64.65367126464844,0.6827392578125,78.0458984375,16.08203125,43.102447509765625,632.0540924072266
40,38,196,98.0,152.2412109375,155.84765625,152.3232421875,154.15234375,150.27734375,155.9482421875,164.31896209716797,1.635894775390625,153.8134765625,30.2216796875,109.54597473144531,1380.326026916504
41,39,123,61.5,109.828125,103.6748046875,98.234375,115.8662109375,98.1591796875,98.650390625,95.17520141601562,0.8619537353515625,132.025390625,37.12890625,63.45013427734375,953.0546722412109
42,40,156,78.0,121.501953125,106.3876953125,93.53125,110.6162109375,88.884765625,98.7109375,130.7461166381836,0.990142822265625,122.5,29.30859375,87.16407775878906,990.3417434692383
43,41,134,67.0,139.98828125,122.3017578125,120.140625,123.7373046875,109.3486328125,107.837890625,105.46772003173828,1.022308349609375,138.82421875,37.861328125,70.31181335449219,1076.8418807983398
44,42,171,85.5,170.822265625,161.8701171875,163.6982421875,174.2490234375,166.177734375,160.45703125,145.0800018310547,1.290985107421875,224.6513671875,41.4912109375,96.72000122070312,1506.5079803466797
45,43,150,75.0,122.8935546875,140.6357421875,131.58984375,118.8984375,134.15625,137.423828125,142.66179656982422,1.2457733154296875,145.4208984375,32.966796875,95.10786437988281,1203.0007858276367
